Date,Portfolio_Value,Returns
2020-07-06,1000000.0,
2020-07-07,1010163.3879838622,0.010163387983862293
2020-07-08,999312.7059392724,-0.010741511891701139
2020-07-09,1000972.693435106,0.0016611291800530115
2020-07-10,1003582.9987666518,0.0026077687719812115
2020-07-13,1012155.6388530966,0.00854203398919684
2020-07-14,1003642.3118212607,-0.008411084921171375
2020-07-15,1026518.9644759378,0.0227936311425172
2020-07-16,1041754.8642000312,0.01484229736746423
2020-07-17,1044821.2172132656,0.002943449671904519
2020-07-20,1060030.5482626117,0.014556874227642735
2020-07-21,1063225.2812159732,0.0030138121572040877
2020-07-22,1058001.9984278434,-0.004912677379300123
2020-07-23,1062348.0175398348,0.004107760777814606
2020-07-24,1060066.21500473,-0.002147886095169582
2020-07-27,1066711.739770663,0.006268971382984212
2020-07-28,1085078.242034901,0.01721786831387706
2020-07-29,1083368.2202165548,-0.0015759433302608983
2020-07-30,1091179.5491999104,0.007210225330215092
2020-07-31,1098320.0319780505,0.006543820202070005
2020-08-03,1094962.1962470107,-0.0030572470985459343
2020-08-04,1086763.157977643,-0.007487964696379468
2020-08-05,1091557.712022051,0.0044117745519918206
2020-08-06,1102458.2870354126,0.009986256240331004
2020-08-07,1105204.0388337607,0.0024905720521468666
2020-08-10,1115446.2093538693,0.009267221400056203
2020-08-11,1111043.3726283188,-0.003947152887005534
2020-08-12,1103053.2582424614,-0.007191541376963317
2020-08-13,1111119.1156393087,0.007312300957887485
2020-08-14,1107694.8169943788,-0.003081846578581793
2020-08-17,1110866.0255030564,0.002862890084908365
2020-08-18,1121855.5695322964,0.009892771744696605
2020-08-19,1120582.2433329783,-0.0011350179416134143
2020-08-20,1114969.6629385608,-0.005008628708700447
2020-08-21,1116444.5782265938,0.0013228299720242642
2020-08-24,1111728.8481456335,-0.00422388193102341
2020-08-25,1111502.735388828,-0.0002033884046299672
2020-08-26,1113109.34680724,0.001445440813827581
2020-08-27,1118719.005036386,0.005039629076187602
2020-08-28,1116842.6024828171,-0.0016772778017727363
2020-08-31,1095142.8844131841,-0.019429522138028288
2020-09-01,1094520.6927024596,-0.000568137472817476
2020-09-02,1105401.9718371395,0.009941592888310868
2020-09-03,1118200.5448471499,0.01157820714643698
2020-09-04,1099538.8045047673,-0.016689081782672144
2020-09-07,1098227.099557421,-0.0011929592134196643
2020-09-08,1108190.879150966,0.00907260401565435
2020-09-09,1102462.8267263193,-0.005168831951617547
2020-09-10,1105216.8993498906,0.0024981092847813358
2020-09-11,1122140.6812419356,0.015312634019620797
2020-09-14,1148643.5381235988,0.023618123221707865
2020-09-15,1162827.3799099969,0.012348340730291785
2020-09-16,1163096.4991072407,0.0002314352086074667
2020-09-17,1167853.5130495485,0.0040899563758975965
2020-09-18,1173159.8774130438,0.004543690029787273
2020-09-21,1151780.1217701836,-0.018224076747327178
2020-09-22,1146632.4587892122,-0.00446931049049526
2020-09-23,1143015.930738776,-0.00315404297402766
2020-09-24,1108818.5060457054,-0.02991858973563688
2020-09-25,1140096.4342630862,0.028208338918264353
2020-09-28,1150396.0199449267,0.009033960086453297
2020-09-29,1152438.1628960944,0.0017751651742201613
2020-09-30,1159121.628945819,0.00579941402923434
2020-10-01,1168312.4937762464,0.007929163429368558
2020-10-05,1190416.6709651384,0.018919747333563386
2020-10-06,1197864.8424896495,0.006256776896842897
2020-10-07,1199094.0794707164,0.0010261900487136266
2020-10-08,1222605.6389397935,0.01960776879113202
2020-10-09,1228818.1244191402,0.005081348622548498
2020-10-12,1237774.5791900617,0.0072886740461735045
2020-10-13,1282314.5780675379,0.03598393409131173
2020-10-14,1242636.9424392213,-0.030942201162612704
2020-10-15,1213438.5687125274,-0.02349710742494049
2020-10-16,1215289.7135023065,0.001525536469261235
2020-10-19,1213461.8501036405,-0.001504055681832761
2020-10-20,1220201.1571474555,0.005553785677925971
2020-10-21,1218363.3845839587,-0.0015061226198089805
2020-10-22,1215870.2439778987,-0.0020463029647852515
2020-10-23,1217832.1596025962,0.0016135896362416968
2020-10-26,1204878.1023816764,-0.01063698073562691
2020-10-27,1208527.8822162014,0.003029169363531814
2020-10-28,1195872.637851077,-0.010471619688175782
2020-10-29,1199523.4675764472,0.0030528583143525356
2020-10-30,1200656.6754034932,0.0009447150119834546
2020-11-02,1195560.9363273927,-0.004244126718729202
2020-11-03,1197819.5741783825,0.0018891867259631656
2020-11-04,1214102.6649845499,0.013593942825100624
2020-11-05,1230451.7569481824,0.013465988038038335
2020-11-06,1234932.8369837012,0.003641816926356345
2020-11-09,1254955.1176664988,0.016213254748089323
2020-11-10,1223347.9698583656,-0.025185879051120574
2020-11-11,1241778.6900147642,0.015065803524840549
2020-11-12,1244624.652883301,0.00229184386189063
2020-11-13,1248225.5188048715,0.002893134016933363
2020-11-14,1259531.5106368144,0.009057651571462877
2020-11-17,1261495.1746246535,0.001559043161092788
2020-11-18,1257148.6008757413,-0.0034455730282166863
2020-11-19,1250786.4536703392,-0.005060775791318695
2020-11-20,1260737.391541468,0.007955744837121026
2020-11-23,1285798.498083583,0.019878133789205332
2020-11-24,1287394.1159111883,0.0012409548074472365
2020-11-25,1278866.5418445636,-0.006623903248609397
2020-11-26,1281756.3210035933,0.0022596409120700933
2020-11-27,1283353.1844073352,0.0012458400848700535
2020-12-01,1297960.4998924236,0.01138214769134982
2020-12-02,1306311.0210829424,0.0064335711227043735
2020-12-03,1310538.3646517554,0.003236092707316063
2020-12-04,1315531.2433394226,0.0038097920841821953
2020-12-07,1327378.6595628946,0.009005803764415177
2020-12-08,1334029.7249268661,0.00501067673195954
2020-12-09,1337104.7449644585,0.002305061109310058
2020-12-10,1337892.1490481445,0.0005888873602843958
2020-12-11,1335952.3298559594,-0.0014499070000262293
2020-12-14,1342382.241215135,0.004812979636682702
2020-12-15,1338766.3658905386,-0.002693625715223469
2020-12-16,1347287.7073371473,0.0063650698611184
2020-12-17,1346397.4226619152,-0.0006607977422964373
2020-12-18,1362100.6877559714,0.01166317227717939
2020-12-21,1331132.4819009088,-0.022735621627269054
2020-12-22,1362578.9643613514,0.0236238562938047
2020-12-23,1389361.6307076598,0.01965586365767913
2020-12-24,1386130.037448766,-0.0023259554513880287
2020-12-28,1395042.279722499,0.006429585993343201
2020-12-29,1399702.804054824,0.003340776405179602
2020-12-30,1405502.0110310577,0.004143170221159842
2020-12-31,1405348.5722359049,-0.00010917010004152239
2021-01-01,1413851.326584917,0.006050281415580949
2021-01-04,1442813.6962180603,0.020484734914172575
2021-01-05,1470588.8774719543,0.01925070528973971
2021-01-06,1463791.5675576248,-0.00462216872333121
2021-01-07,1459752.071665932,-0.0027596113963361812
2021-01-08,1495485.2299618693,0.024478922818144788
2021-01-11,1522019.5172531412,0.017742928355065413
2021-01-12,1522633.6420365057,0.00040349336943656944
2021-01-13,1518240.6870352314,-0.002885103074038775
2021-01-14,1517692.5635887166,-0.00036102539682636436
2021-01-15,1500733.9925415996,-0.011173917204296613
2021-01-18,1479535.9888769453,-0.014125090635652149
2021-01-19,1482029.3829579847,0.0016852540930294424
2021-01-20,1504410.6276179636,0.015101755010624718
2021-01-21,1492406.3491296633,-0.007979389581491803
2021-01-22,1492505.782193586,6.662599899853738e-05
2021-01-25,1468700.2158904823,-0.01595006638307017
2021-01-27,1457211.198820143,-0.007822574645278024
2021-01-28,1436272.2977784406,-0.01436916011807754
2021-01-29,1404758.7088687718,-0.021941235626707134
2021-02-01,1422907.3226482347,0.012919381574133526
2021-02-02,1455887.2814523517,0.023177868494440368
2021-02-03,1466371.8856344493,0.007201521928015264
2021-02-04,1470134.4229268683,0.002565882044847756
