Type,Return,Volatility,Sharpe,BANKBEES.NS,GOLDBEES.NS,ITBEES.NS,JUNIORBEES.NS,NIFTYBEES.NS
Equal Weight,0.19548881559091164,0.11344142505087139,1.106199217213974,0.2,0.2,0.2,0.2,0.2
Minimum Volatility,0.18720026015333774,0.09249229806902624,1.2671353464033528,0.0,0.47600276525813817,0.0,0.026286314609468005,0.4977109201323939
Maximum Sharpe,0.19285358719591048,0.09539755034724305,1.2878065186027168,0.10961509801085266,0.49541990231950556,0.08500816799770865,0.13679581016524128,0.17316102150669185
