Portfolio,CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Drawdown Peak Date,Drawdown Trough Date,VaR 95% (%),CVaR 95% (%),VaR 99% (%),CVaR 99% (%),Skewness,Kurtosis,Calmar Ratio,Beta,Alpha (%),Tracking Error (%),Information Ratio,Upside Capture (%),Downside Capture (%)
Equal Weight,19.95366728093211,12.08381145651783,1.006624043888605,1.3925037598075474,-17.68814337006891,2022-01-17,2022-06-20,-1.2554363661572583,-1.7579829125327497,-2.1010551067081282,-2.55010735684269,-0.38623829312503416,1.546189351539641,1.1280814986324013,0.8657477738763926,2.1658467190085213,4.974056045507509,0.13100252933991555,89.70620081114724,86.25715957472346
Minimum Volatility,20.19402429332555,15.647051544130939,0.8217604633327843,1.1420876317269757,-25.131883952009147,2022-01-17,2022-06-17,-1.6080724224939884,-2.2791298270057236,-2.6345604989049645,-3.2182251561293245,-0.23849327819066035,1.9024299815458035,0.8035221049041633,0.924475341612114,2.1977308077140183,10.200983026238616,0.13193699982910503,97.53472679296114,95.8556641542797
Maximum Sharpe,20.060298045523407,12.908118160361227,0.9572764617664746,1.254116619319458,-18.834789859049753,2022-01-17,2022-06-20,-1.3820474083729546,-1.9521454429839786,-2.3664400005003117,-2.7130629913850903,-0.5358471148524114,1.7661249251861184,1.0650661990733505,0.879058484017927,2.2084975538894964,6.397198374726293,0.1319947264794408,91.04133995797014,87.69345524318153
